Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french
STR_HP_ANVIL0,"Anvil","Anvil","Kovadlina","Amboss","Ковадло","Kowadło","Üllő","Incudine","Yunque","Enclume"
STR_HP_ANVIL1,"An old anvil, a little rusty, but suitable for work","An old anvil, a little rusty, but suitable for work","Stará kovadlina, trochu rezavá, ale vhodná na práci","Ein alter Amboss, etwas rostig, aber arbeitstauglich","Старе ковадло , трохи іржаве але для роботи підійде","Stare kowadło, trochę zardzewiałe, ale nadające się do pracy","Régi üllő, kicsit rozsdás, de munkára alkalmas","Una vecchia incudine, un po' arrugginita, ma adatta al lavoro","Un yunque viejo, un poco oxidado, pero apto para trabajar.","Une vieille enclume, un peu rouillée, mais adaptée au travail"
STR_HP_CRAFTER_KIT0,"Workbench Kit","Workbench Kit","Sada pracovního stolu","Werkbank-Kit","Комплект верстака","Zestaw stołu warsztatowego","Munkaasztal készlet","Kit banco da lavoro","Kit de banco de trabajo","Kit d'établi"
STR_HP_CRAFTER_KIT1,"Need to unpack, but I'd rather do it at home","Need to unpack, but I'd rather do it at home","Potřebuji vybalit, ale raději to udělám doma","Muss zwar auspacken, mache das aber lieber zu Hause","Потрібно розпакувати, але краще я зроблю це вдома","Muszę się rozpakować, ale wolę to zrobić w domu","Ki kell csomagolni, de inkább otthon csinálom","Devo disfare le valigie, ma preferirei farlo a casa","Necesito desempacar, pero prefiero hacerlo en casa.","Je dois déballer, mais je préfère le faire à la maison"
STR_HP_TABLE0,"Workbench","Workbench","pracovní stůl","Werkbank","Робочий стіл","stoł warsztatowy","munkapad","banco di lavoro","Banco de trabajo","Table de travail"
STR_HP_TABLE1,"A table where you can do everything (almost)","A table where you can do everything (almost)","Stůl, kde můžete dělat všechno (téměř)","Ein Tisch, an dem man (fast) alles machen kann","Стіл на якому можливо зробити все (майже)","Stół, przy którym można zrobić wszystko (prawie)","Egy asztal, ahol mindent megtehet (majdnem)","Un tavolo dove puoi fare tutto (quasi)","Una mesa donde puedes hacer de todo (casi)","Une table où l'on peut tout faire (presque)"
STR_HP_DRILL0,"Drill","Drill","Vrtat","Bohren","Дриль","Wiertarka","Fúró","Trapano","Perforar","Percer"
STR_HP_DRILL1,"A good machine, they say that half of the economy of the USSR was based on such machines.","A good machine, they say that half of the economy of the USSR was based on such machines.","Dobrý stroj, říká se, že na takových strojích byla založena polovina ekonomiky SSSR.","Eine gute Maschine, man sagt, dass die Hälfte der Wirtschaft der UdSSR auf solchen Maschinen basierte.","Хороший верстат ,кажуть що саме на таких трималася половина економіки СССР.","Dobra maszyna, mówią, że na takich maszynach opierała się połowa gospodarki ZSRR","Jó gép, azt mondják, hogy a Szovjetunió gazdaságának fele ilyen gépekre épült.","Una buona macchina, dicono, metà dell'economia dell'URSS era basata su tali macchine.","Una buena máquina, dicen que la mitad de la economía de la URSS se basaba en este tipo de máquinas.","Une bonne machine, on dit que la moitié de l’économie de l’URSS reposait sur de telles machines."
STR_HP_GRINDE0,"Grinding machine","Grinding machine","Bruska","Schleifmaschine","Шліфувальний станок","Maszyna do mielenia","Daráló gép","Rettificatrice","Máquina de molienda","Rectifieuse"
STR_HP_GRINDE1,"Good for working with wood and metal.","Good for working with wood and metal.","Dobré pro práci se dřevem a kovem.","Gut für die Bearbeitung von Holz und Metall","Добре підходить для роботи з деревом та металом.","Nadaje się do pracy w drewnie i metalu.","Kiválóan alkalmas fa és fém megmunkálására.","Buono per lavorare con legno e metallo.","Bueno para trabajar con madera y metal.","Idéal pour travailler le bois et le métal."
STR_HP_NAPILNIK0,"File","File","Soubor","Datei","Напильник","Plik","Fájl","File","Archivo","Déposer"
STR_HP_NAPILNIK1,"These things will never be replaced.","These things will never be replaced.","Tyto věci nebudou nikdy nahrazeny.","Diese Dinge werden niemals ersetzt.","Цій речі ніколи не придумають заміну.","Te rzeczy nigdy nie zostaną zastąpione.","Ezeket a dolgokat soha nem fogják pótolni.","Queste cose non verranno mai sostituite.","Estas cosas nunca serán reemplazadas.","Ces choses ne seront jamais remplacées."
STR_HP_OILER0,"Oiler","Oiler","Olejník","Öler","Маслянка","Olejarka","Olajozó","Oliatore","engrasador","Graisseur"
STR_HP_OILER1,"A necessary item when working with workbenches, and also suitable for lubricating parts subject to friction.","A necessary item when working with workbenches, and also suitable for lubricating parts subject to friction.","Nezbytná položka při práci s pracovními stoly a také vhodná pro mazání dílů podléhajících tření.","Unverzichtbar beim Arbeiten an Werkbänken, aber auch zum Schmieren von Teilen geeignet, die Reibung ausgesetzt sind.","Необхідний предмет при роботі з верстаками, а також підходить для змащування деталей що підлягають тертю.","Niezbędny element podczas pracy na stołach warsztatowych, a także nadaje się do smarowania części narażonych na tarcie.","Szükséges elem a munkapaddal végzett munka során, és alkalmas súrlódásnak kitett alkatrészek kenésére is.","Articolo necessario quando si lavora sui banchi da lavoro, adatto anche per lubrificare le parti soggette ad attrito.","Elemento necesario cuando se trabaja con bancos de trabajo, y también apto para lubricar piezas sujetas a fricción.","Article indispensable pour travailler sur des établis et également adapté pour lubrifier les pièces sujettes aux frottements."
STR_HP_VISE0,"Vise","Vise","Svěrák","Schraubstock","Тиси","Imadło","Satu","Morsa","Tornillo","Vice"
STR_HP_VISE1,"A subject without which no workshop can do.","A subject without which no workshop can do.","Předmět, bez kterého se žádný workshop neobejde.","Ein Thema, auf das keine Werkstatt verzichten kann.","Предмет без якого не обходиться жодна майстерня.","Temat bez którego nie obejdzie się żaden warsztat.","Egy téma, amely nélkül egyetlen műhely sem tud meglenni.","Un tema senza il quale nessun laboratorio può fare.","Un tema sin el cual ningún taller puede funcionar.","Un sujet sans lequel aucun atelier ne peut se passer."
STR_HP_PAYALNIK0,"Soldering iron","Soldering iron","Páječka","Lötkolben","Паяльник","Lutownica","Forrasztópáka","Saldatore","Soldador","Fer à souder"
STR_HP_PAYALNIK1,"A hand tool used in tinning and soldering to heat parts, flux, melt solder and bring it into the contact area of ​​the parts being soldered.","A hand tool used in tinning and soldering to heat parts, flux, melt solder and bring it into the contact area of ​​the parts being soldered.","Ruční nástroj používaný při cínování a pájení k zahřívání dílů, tavidla, tavení pájky a přivádění do kontaktní oblasti pájených dílů.","Ein Handwerkzeug, das beim Verzinnen und Löten verwendet wird, um Teile zu erhitzen, Flussmittel zu verwenden, Lot zu schmelzen und es in den Kontaktbereich der zu lötenden Teile zu bringen.","Ручний інструмент, що застосовується при лудженні і пайці для нагрівання деталей, флюсу, розплавлення припою і внесення його в місце контакту деталей, що спаюються.","Narzędzie ręczne używane do cynowania i lutowania w celu podgrzania części, topnika, stopienia lutowia i wprowadzenia go w obszar styku lutowanych części.","Kéziszerszám, amelyet ónozáshoz és forrasztáshoz használnak alkatrészek melegítésére, folyasztószerre, forraszanyag olvasztására és a forrasztandó alkatrészek érintkezési területére való bejuttatására.","Uno strumento manuale utilizzato nella stagnatura e nella saldatura per riscaldare parti, flusso, fondere la saldatura e portarla nell'area di contatto delle parti da saldare.","Una herramienta manual que se utiliza en estañado y soldadura para calentar piezas, fundir, fundir soldadura y llevarla al área de contacto de las piezas que se están soldando.","Un outil à main utilisé dans l'étamage et le brasage pour chauffer les pièces, le flux, faire fondre la soudure et l'amener dans la zone de contact des pièces à souder."
STR_HP_PLATA0,"Microcircuit","Microcircuit","Mikroobvod","Mikroschaltung","Мікросхема","Mikroukład","Mikroáramkör","Microcircuito","Microcircuito","Microcircuit"
STR_HP_PLATA1,"A microcircuit, a valuable item, you must try to do something with it.","A microcircuit, a valuable item, you must try to do something with it.","Mikroobvod, cenná věc, musíte se s tím pokusit něco udělat.","Ein Mikroschaltkreis, ein wertvoller Gegenstand, man muss versuchen, etwas damit anzufangen.","Мікросхема, цінний предмет, треба спробувати з нею щось зробити.","Mikroukład, cenny przedmiot, trzeba spróbować coś z nim zrobić.","Egy mikroáramkör, értékes tárgy, meg kell próbálnod kezdeni vele valamit.","Un microcircuito, un oggetto di valore, devi provare a farci qualcosa.","Un microcircuito, un objeto valioso, debes intentar hacer algo con él.","Un microcircuit, un objet de valeur, il faut essayer d'en faire quelque chose."
STR_HP_BATTERY0,"Battery 1.5V","Battery 1.5V","Baterie 1,5V","Batterie 1,5V","Батарейка 1.5В","Bateria 1,5 V","Akkumulátor 1,5V","Batteria 1,5 V","Batería 1,5 V.","Batterie 1,5 V"
STR_HP_BATTERY1,"1.5V alkaline battery, used to power various small devices.","1.5V alkaline battery, used to power various small devices.","1,5V alkalická baterie, slouží k napájení různých malých zařízení.","1,5-V-Alkalibatterie, die zur Stromversorgung verschiedener kleiner Geräte verwendet wird.","Лужна батарея на 1.5В, використовується для живлення різних невеликих приладів.","Bateria alkaliczna 1,5 V, służąca do zasilania różnych małych urządzeń.","1,5 V-os alkáli elem, különféle kis eszközök táplálására szolgál.","Batteria alcalina da 1,5 V, utilizzata per alimentare vari piccoli dispositivi.","Batería alcalina de 1,5 V, utilizada para alimentar varios dispositivos pequeños.","Pile alcaline de 1,5 V, utilisée pour alimenter divers petits appareils."
STR_HP_TESTER0,"Multimeter","Multimeter","Multimetr","Multimeter","Мультиметр","Multimetr","Multiméter","Multimetro","Multímetro","Multimètre"
STR_HP_TESTER1,"An electronic measuring device that combines several measurement functions. A typical multimeter covers basic functions such as measuring voltage, current, and resistance.","An electronic measuring device that combines several measurement functions. A typical multimeter covers basic functions such as measuring voltage, current, and resistance.","Elektronický měřicí přístroj, který kombinuje několik měřicích funkcí. Typický multimetr pokrývá základní funkce, jako je měření napětí, proudu a odporu.","Ein elektronisches Messgerät, das mehrere Messfunktionen vereint. Ein typisches Multimeter deckt grundlegende Funktionen wie die Messung von Spannung, Strom und Widerstand ab.","Електронний вимірювальний прилад, що поєднує в собі декілька функцій вимірювання. Типовий мультиметр охоплює такі основні функції, як вимірювання напруги, струму і опору.","Elektroniczne urządzenie pomiarowe, które łączy w sobie kilka funkcji pomiarowych. Typowy multimetr spełnia podstawowe funkcje, takie jak pomiar napięcia, prądu i rezystancji.","Több mérési funkciót kombináló elektronikus mérőeszköz. Egy tipikus multiméter olyan alapvető funkciókat takar, mint a feszültség, áram és ellenállás mérése.","Un dispositivo di misurazione elettronico che combina diverse funzioni di misurazione. Un tipico multimetro copre funzioni di base come la misurazione di tensione, corrente e resistenza.","Un dispositivo de medición electrónico que combina varias funciones de medición. Un multímetro típico cubre funciones básicas como medir voltaje, corriente y resistencia.","Un appareil de mesure électronique qui combine plusieurs fonctions de mesure. Un multimètre typique couvre des fonctions de base telles que la mesure de la tension, du courant et de la résistance."
STR_HP_ZAGOTOVKA0,"original","english","czech","german","russian","polish","hungarian","italian","spanish","french"

